GDP,995.4,"1,011.40","1,032.00","1,040.70","1,053.50","1,070.10","1,088.50","1,091.50","1,137.80","1,159.40","1,180.30","1,193.60","1,233.80","1,270.10","1,293.80","1,332.00","1,380.70","1,417.60","1,436.80","1,479.10","1,494.70","1,534.20","1,563.40","1,603.00","1,619.60","1,656.40","1,713.80","1,765.90","1,824.50","1,856.90","1,890.50","1,938.40","1,992.50","2,060.20","2,122.40","2,168.70","2,208.70","2,336.60","2,398.90","2,482.20","2,531.60","2,595.90","2,670.40","2,730.70","2,796.50","2,799.90","2,860.00","2,993.50","3,131.80","3,167.30","3,261.20","3,283.50","3,273.80","3,331.30","3,367.10","3,407.80","3,480.30","3,583.80","3,692.30","3,796.10","3,912.80","4,015.00","4,087.40","4,147.60","4,237.00","4,302.30","4,394.60","4,453.10","4,516.30","4,555.20","4,619.60","4,669.40","4,736.20","4,821.50","4,900.50","5,022.70","5,090.60","5,207.70","5,299.50","5,412.70","5,527.40","5,628.40","5,711.60","5,763.40","5,890.80","5,974.70","6,029.50","6,023.30","6,054.90","6,143.60","6,218.40","6,279.30","6,380.80","6,492.30","6,586.50","6,697.60","6,748.20","6,829.60","6,904.20","7,032.80","7,136.30","7,269.80","7,352.30","7,476.70","7,545.30","7,604.90","7,706.50","7,799.50","7,893.10","8,061.50","8,159.00","8,287.10","8,402.10","8,551.90","8,691.80","8,788.30","8,889.70","8,994.70","9,146.50","9,325.70","9,447.10","9,557.00","9,712.30","9,926.10","10,031.00","10,278.30","10,357.40","10,472.30","10,508.10","10,638.40","10,639.50","10,701.30","10,834.40","10,934.80","11,037.10","11,103.80","11,230.10","11,370.70","11,625.10","11,816.80","11,988.40","12,181.40","12,367.70","12,562.20","12,813.70","12,974.10","13,205.40","13,381.60","13,648.90","13,799.80","13,908.50","14,066.40","14,233.20","14,422.30","14,569.70","14,685.30","14,668.40","14,813.00","14,843.00","14,549.90","14,383.90","14,340.40","14,384.10","14,566.50","14,681.10","14,888.60","15,057.70","15,230.20","15,238.40","15,460.90","15,587.10","15,785.30","15,973.90","16,121.90","16,227.90","16,297.30","16,475.40","16,541.40","16,749.30","16,999.90","17,025.20","17,285.60","17,569.40","17,692.20","17,783.60","17,998.30","18,141.90","18,222.80"
Real Consumption,"2,810.20","2,828.20","2,841.90","2,864.60","2,882.30","2,895.60","2,921.10","2,913.10","2,968.90","2,996.10","3,020.00","3,070.20","3,110.80","3,170.20","3,219.10","3,294.60","3,354.80","3,353.40","3,365.30","3,355.50","3,326.20","3,337.90","3,351.60","3,302.50","3,330.10","3,385.70","3,434.10","3,470.50","3,539.90","3,572.40","3,610.30","3,657.50","3,699.30","3,719.70","3,755.20","3,811.80","3,833.80","3,915.60","3,932.00","3,963.50","3,983.60","3,981.30","4,020.40","4,031.20","4,025.00","3,934.50","3,976.90","4,029.60","4,050.80","4,050.10","4,066.40","4,035.90","4,062.60","4,077.60","4,109.10","4,184.10","4,224.80","4,308.40","4,384.00","4,453.10","4,490.90","4,554.90","4,589.90","4,650.60","4,729.70","4,774.10","4,865.80","4,878.30","4,919.60","4,974.60","5,064.70","5,097.10","5,097.90","5,168.60","5,228.50","5,239.50","5,332.70","5,371.80","5,417.70","5,479.70","5,505.00","5,530.90","5,585.90","5,610.50","5,658.70","5,676.40","5,699.30","5,656.20","5,636.70","5,684.00","5,711.60","5,710.10","5,817.30","5,857.20","5,920.60","5,991.10","6,013.80","6,067.80","6,134.80","6,189.10","6,260.10","6,308.60","6,357.50","6,425.90","6,442.90","6,500.70","6,560.30","6,606.40","6,667.70","6,740.10","6,780.70","6,834.00","6,906.10","6,937.40","7,056.10","7,139.90","7,213.60","7,341.00","7,437.50","7,546.80","7,618.70","7,731.50","7,819.30","7,934.10","8,054.90","8,132.20","8,211.30","8,284.40","8,319.40","8,340.80","8,371.20","8,499.10","8,524.60","8,568.10","8,628.00","8,674.40","8,712.50","8,809.50","8,939.40","9,008.80","9,096.40","9,155.50","9,243.00","9,337.80","9,409.20","9,511.50","9,585.20","9,621.30","9,729.20","9,781.00","9,838.10","9,938.40","9,990.70","10,024.60","10,069.20","10,081.80","10,061.00","10,077.90","10,005.10","9,884.70","9,850.80","9,806.40","9,865.90","9,864.80","9,917.70","9,998.40","10,063.10","10,166.10","10,217.10","10,237.70","10,282.20","10,316.80","10,379.00","10,396.60","10,424.10","10,453.20","10,502.30","10,523.90","10,573.10","10,662.20","10,712.80","10,813.30","10,912.90","11,036.40","11,102.40","11,181.30","11,255.90","11,319.30"
Real Investment,627.2,623.5,636.2,605.5,587.4,588.7,598.3,566.5,632.5,650.5,658.4,640.6,682.9,721.6,731.9,736.5,779.6,812.9,783.4,811.3,765,761.9,722.4,726.8,609.7,591.6,637.5,655.2,718.5,746.9,749.5,755.1,790.1,846.8,889.6,867.3,884.2,941.6,969.1,991.5,993.1,992.2,975.5,958.2,951.6,870.7,813.3,889.2,971.7,931.3,983.5,948.4,854.9,853.8,845.7,780.3,807.5,879.1,934.2,"1,025.10","1,124.20","1,160.70","1,185.80","1,170.40","1,138.30","1,157.70","1,149.80","1,192.20","1,191.90","1,171.00","1,139.50","1,143.00","1,173.80","1,174.40","1,174.60","1,254.60","1,194.40","1,222.90","1,229.70","1,248.40","1,290.70","1,278.30","1,266.90","1,257.70","1,270.00","1,270.40","1,245.60","1,176.30","1,137.10","1,137.20","1,159.80","1,201.00","1,178.90","1,245.70","1,255.80","1,294.20","1,324.60","1,332.10","1,323.10","1,392.50","1,446.20","1,517.10","1,492.20","1,553.50","1,570.30","1,537.70","1,528.60","1,566.70","1,590.60","1,667.70","1,744.50","1,743.90","1,781.60","1,880.00","1,913.60","1,940.70","2,027.10","2,013.40","2,067.20","2,125.50","2,186.10","2,188.00","2,242.80","2,308.60","2,287.80","2,424.50","2,394.10","2,395.60","2,285.30","2,277.10","2,236.60","2,126.90","2,202.80","2,224.90","2,224.60","2,220.70","2,239.50","2,251.30","2,330.90","2,413.10","2,414.50","2,500.90","2,539.40","2,590.60","2,664.40","2,630.50","2,657.90","2,737.60","2,773.80","2,755.70","2,727.60","2,663.00","2,638.50","2,674.70","2,658.10","2,605.20","2,517.50","2,472.60","2,403.80","2,190.00","1,937.70","1,820.50","1,804.70","1,949.60","2,012.90","2,116.90","2,185.70","2,166.10","2,125.90","2,208.00","2,214.00","2,373.70","2,429.60","2,489.10","2,482.00","2,462.20","2,543.00","2,574.30","2,656.80","2,692.00","2,646.40","2,717.50","2,776.30","2,794.10","2,860.80","2,867.70","2,882.20","2,865.40"
Real GDP,"4,691.60","4,706.70","4,736.10","4,715.50","4,707.10","4,715.40","4,757.20","4,708.30","4,834.30","4,861.90","4,900.00","4,914.30","5,002.40","5,118.30","5,165.40","5,251.20","5,380.50","5,441.50","5,411.90","5,462.40","5,417.00","5,431.30","5,378.70","5,357.20","5,292.40","5,333.20","5,421.40","5,494.40","5,618.50","5,661.00","5,689.80","5,732.50","5,799.20","5,913.00","6,017.60","6,018.20","6,039.20","6,274.00","6,335.30","6,420.30","6,433.00","6,440.80","6,487.10","6,503.90","6,524.90","6,392.60","6,382.90","6,501.20","6,635.70","6,587.30","6,662.90","6,585.10","6,475.00","6,510.20","6,486.80","6,493.10","6,578.20","6,728.30","6,860.00","7,001.50","7,140.60","7,266.00","7,337.50","7,396.00","7,469.50","7,537.90","7,655.20","7,712.60","7,784.10","7,819.80","7,898.60","7,939.50","7,995.00","8,084.70","8,158.00","8,292.70","8,339.30","8,449.50","8,498.30","8,610.90","8,697.70","8,766.10","8,831.50","8,850.20","8,947.10","8,981.70","8,983.90","8,907.40","8,865.60","8,934.40","8,977.30","9,016.40","9,123.00","9,223.50","9,313.20","9,406.50","9,424.10","9,480.10","9,526.30","9,653.50","9,748.20","9,881.40","9,939.70","10,052.50","10,086.90","10,122.10","10,208.80","10,281.20","10,348.70","10,529.40","10,626.80","10,739.10","10,820.90","10,984.20","11,124.00","11,210.30","11,321.20","11,431.00","11,580.60","11,770.70","11,864.70","11,962.50","12,113.10","12,323.30","12,359.10","12,592.50","12,607.70","12,679.30","12,643.30","12,710.30","12,670.10","12,705.30","12,822.30","12,893.00","12,955.80","12,964.00","13,031.20","13,152.10","13,372.40","13,528.70","13,606.50","13,706.20","13,830.80","13,950.40","14,099.10","14,172.70","14,291.80","14,373.40","14,546.10","14,589.60","14,602.60","14,716.90","14,726.00","14,838.70","14,938.50","14,991.80","14,889.50","14,963.40","14,891.60","14,577.00","14,375.00","14,355.60","14,402.50","14,541.90","14,604.80","14,745.90","14,845.50","14,939.00","14,881.30","14,989.60","15,021.10","15,190.30","15,291.00","15,362.40","15,380.80","15,384.30","15,491.90","15,521.60","15,641.30","15,793.90","15,747.00","15,900.80","16,094.50","16,186.70","16,269.00","16,374.20","16,454.90","16,490.70"
